Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
18ffa9e917633fd37511a22e0466f47cab0d968f747b970aed09881478e5c7cb,2019-02,Gwent Police,Gwent Police,-3.012819,51.581911,On or near BASSALEG ROAD,W01001605,Newport 014A,Defendant found not guilty
94f8c06c6931b30dcc10fdcad2281d841caba56301ddea1f90a5662b0e87ee6d,2019-02,Gwent Police,Gwent Police,-3.014976,51.569268,On or near OLD CARDIFF ROAD,W01001634,Newport 019B,Defendant found not guilty
b45328814936118998bffc292275414499016ed2f59e2ab82bc0363cfb600fc5,2019-02,Gwent Police,Gwent Police,-3.058718,51.722863,On or near BROAD STREET,W01001486,Torfaen 002E,Offender fined
656cde33d71479d2102060a6cef84162f7401c19f5f2fa1396e1e0a74876326a,2019-02,Gwent Police,Gwent Police,-3.274335,51.751779,On or near TAN-Y-BRYN,W01001376,Caerphilly 001C,Defendant found not guilty
517b51f14b55ee62f68ddac2ec46b2ac08726399997809a7630eff74e826e3b6,2019-02,Gwent Police,Gwent Police,-2.992290,51.584290,On or near Theatre/Concert Hall,W01001687,Newport 014D,Offender given suspended prison sentence
dd12ccb752dd084f2191ebd2375394fe207096a8f099deb7469a03849bbb6249,2019-02,Gwent Police,Gwent Police,-2.992140,51.586683,On or near KINGSWAY,W01001687,Newport 014D,Offender given conditional discharge
6bb0fbee5f4db33d09d64db8226e6289d85cf3683fdf6b0721d8a00433a60c7b,2019-02,Gwent Police,Gwent Police,-3.183226,51.801034,On or near GURNOS ESTATE,W01001449,Blaenau Gwent 002D,Defendant found not guilty
c78d78f7b8eb59610702291cdca1971e513c0e80d2d518b3f0dbdf7f724c4f9b,2019-02,Gwent Police,Gwent Police,-2.965147,51.581872,On or near HAMPDEN ROAD,W01001642,Newport 013A,Offender sent to prison
c8eb7f73011494aa45f4859bda234c4f79534bb1546fe0c52220ff429f605ea2,2019-02,Gwent Police,Gwent Police,-2.972285,51.582263,On or near SLADE STREET,W01001643,Newport 013B,Offender sent to prison
52b9542f92d7277d04f7137891fd75f42a8261801d56891da94d45377c93f62b,2019-02,Gwent Police,Gwent Police,-3.144391,51.665332,On or near VICTORIA TERRACE,W01001382,Caerphilly 010C,Offender given suspended prison sentence
e216c5e28daa8bb61c2e9fa9c0c187f06ed300d471dd6bb89d9c61cedd3a3e4d,2019-02,Gwent Police,Gwent Police,-3.245191,51.775065,On or near Pedestrian Subway,W01001481,Blaenau Gwent 006E,Offender sent to prison
4fe0764f7e86e42a2ea04ea04548013772cf5b461ad7ade691b130f30da170b6,2019-02,Gwent Police,Gwent Police,-3.212735,51.668953,On or near ST MARGARET'S AVENUE,W01001352,Caerphilly 007A,Offender fined
069ca048f50063b44531c4bd3f5a7f1b2d7a220a8660d7549e689ee4b55dc5c0,2019-02,Gwent Police,Gwent Police,-3.013880,51.561491,On or near CHAFFINCH WAY,W01001689,Newport 019D,Defendant found not guilty
e590b5b27e7dd4a3bebf25bc6bdfe10f78d6264bfc671f6d84feefdbfc18cadd,2019-02,Gwent Police,Gwent Police,-3.204197,51.655616,On or near MYNYDDISLWYN CLOSE,W01001402,Caerphilly 011B,Offender sent to prison
c1faa730df2d240d9398a7955df6d908f59faa2c98f75ff479a8787f181d0ef9,2019-02,Gwent Police,Gwent Police,-3.237433,51.591429,On or near PENTWYN,W01001400,Caerphilly 019F,Offender given community sentence
67a75d80e0d618159797f0ae10ef2792315d4470d04295dfb14b6c92caf32143,2019-02,Gwent Police,Gwent Police,-3.240687,51.725524,On or near ORCHARD STREET,W01001386,Caerphilly 002E,Offender ordered to pay compensation
70d0f8c080b3d47747fd8c51491d49e8650c92db2a44f8214d087809694688db,2019-02,Gwent Police,Gwent Police,-2.993072,51.581765,On or near CARDIFF ROAD,W01001687,Newport 014D,Offender sent to prison
88b4a07352a6c2e93ff03614b3f488897019348b348c27e4e1d060da26a471af,2019-02,Gwent Police,Gwent Police,-2.990849,51.581074,On or near DROVERS MEWS,W01001662,Newport 018D,Offender sent to prison
129a9174996612a68322f4a9bf973d7be2a3a78531a84ccda0fde9c01236e5b4,2019-02,Gwent Police,Gwent Police,-3.000589,51.659793,On or near ASHFORD CLOSE NORTH,W01001495,Torfaen 008C,Court case unable to proceed
78415a919d57ed7549064339a62343bbfb69e081fab1a705a45139bd5494e6f0,2019-02,Gwent Police,Gwent Police,-3.195847,51.665160,On or near Bus/Coach Station,W01001350,Caerphilly 009C,Offender given community sentence
239ff183ef90b4278936faa12c4327dce0fe492e66d32f6d7d8187d012e413ef,2019-02,Gwent Police,Gwent Police,-2.995796,51.579620,On or near CARDIFF ROAD,W01001662,Newport 018D,Offender sent to prison
c535f646b0a8fa628a9bde19833de9ba50d55553e14a726e016cda5407a49e80,2019-02,Gwent Police,Gwent Police,-3.001261,51.595156,On or near HARLEQUIN DRIVE,W01001681,Newport 006B,Offender given suspended prison sentence
2bef6a49adb769f9185f278cf594d44a404995f845e9745ef23fa35796acf16c,2019-02,Gwent Police,Gwent Police,-2.995998,51.586227,On or near SCHOOL LANE,W01001687,Newport 014D,Offender sent to prison
d92be90df47094808c71853b91e6ebbe48cd986de5ccfab551986ab130cb7b0b,2019-02,Gwent Police,Gwent Police,-3.245191,51.775065,On or near Pedestrian Subway,W01001481,Blaenau Gwent 006E,Offender sent to prison
